DN	UF	COD_EMB	SIGLA OM	QTDE	
3º	CE	48	AGARACATI	4	
3º	CE	26	AGARACATI	503	
3º	CE	51	AGARACATI	120	
3º	CE	28	AGARACATI	1	
3º	CE	32	AGARACATI	1	
3º	CE	59	AGARACATI	2	
3º	CE	34	AGARACATI	750	
3º	CE	105	AGARACATI	1	
3º	CE	35	AGARACATI	148	
3º	CE	108	AGARACATI	32	
3º	CE	37	AGARACATI	29	
3º	CE	99	AGARACATI	122	
3º	CE	13	AGARACATI	1	
3º	CE	38	AGARACATI	517	
3º	CE	39	AGARACATI	1	
3º	CE	43	AGARACATI	2	
3º	RN	48	AGBRAN	16	
3º	RN	25	AGBRAN	4	
3º	RN	26	AGBRAN	142	
3º	RN	51	AGBRAN	3	
3º	RN	58	AGBRAN	1	
3º	RN	34	AGBRAN	96	
3º	RN	105	AGBRAN	3	
3º	RN	35	AGBRAN	52	
3º	RN	108	AGBRAN	64	
3º	RN	37	AGBRAN	25	
3º	RN	99	AGBRAN	103	
3º	RN	13	AGBRAN	2	
3º	RN	38	AGBRAN	170	
3º	RN	41	AGBRAN	1	
3º	CE	23	AGCAMOCIM	25	
3º	CE	48	AGCAMOCIM	22	
3º	CE	26	AGCAMOCIM	276	
3º	CE	51	AGCAMOCIM	1806	
3º	CE	32	AGCAMOCIM	1	
3º	CE	34	AGCAMOCIM	30	
3º	CE	35	AGCAMOCIM	237	
3º	CE	108	AGCAMOCIM	12	
3º	CE	37	AGCAMOCIM	4	
3º	CE	99	AGCAMOCIM	64	
3º	CE	13	AGCAMOCIM	6	
3º	CE	38	AGCAMOCIM	481	
3º	CE	41	AGCAMOCIM	2	
3º	CE	43	AGCAMOCIM	1	
1º	RJ	48	AGPARATI	9	
1º	RJ	25	AGPARATI	4	
1º	RJ	26	AGPARATI	1823	
1º	RJ	51	AGPARATI	305	
1º	RJ	28	AGPARATI	4	
1º	RJ	31	AGPARATI	23	
1º	RJ	32	AGPARATI	75	
1º	RJ	33	AGPARATI	22	
1º	RJ	44	AGPARATI	1	
1º	RJ	34	AGPARATI	1	
1º	RJ	105	AGPARATI	4	
1º	RJ	35	AGPARATI	1004	
1º	RJ	108	AGPARATI	186	
1º	RJ	37	AGPARATI	15	
1º	RJ	99	AGPARATI	427	
1º	RJ	13	AGPARATI	4	
1º	RJ	38	AGPARATI	15	
1º	RJ	42	AGPARATI	27	
1º	RJ	46	AGPARATI	80	
1º	RJ	43	AGPARATI	172	
1º	RJ	48	AGSJBARRA	1	
1º	RJ	26	AGSJBARRA	400	
1º	RJ	55	AGSJBARRA	1	
1º	RJ	51	AGSJBARRA	1389	
1º	RJ	28	AGSJBARRA	2	
1º	RJ	31	AGSJBARRA	24	
1º	RJ	32	AGSJBARRA	1	
1º	RJ	35	AGSJBARRA	154	
1º	RJ	108	AGSJBARRA	90	
1º	RJ	37	AGSJBARRA	1	
1º	RJ	13	AGSJBARRA	5	
1º	RJ	38	AGSJBARRA	177	
1º	RJ	46	AGSJBARRA	92	
5º	RS	109	AGTRAMANDAÍ	1	
5º	RS	48	AGTRAMANDAÍ	2	
5º	RS	25	AGTRAMANDAÍ	1	
5º	RS	26	AGTRAMANDAÍ	1679	
5º	RS	55	AGTRAMANDAÍ	2	
5º	RS	54	AGTRAMANDAÍ	5	
5º	RS	51	AGTRAMANDAÍ	157	
5º	RS	28	AGTRAMANDAÍ	4	
5º	RS	31	AGTRAMANDAÍ	37	
5º	RS	57	AGTRAMANDAÍ	1	
5º	RS	32	AGTRAMANDAÍ	1	
5º	RS	44	AGTRAMANDAÍ	2	
5º	RS	59	AGTRAMANDAÍ	1	
5º	RS	34	AGTRAMANDAÍ	4	
5º	RS	105	AGTRAMANDAÍ	2	
5º	RS	35	AGTRAMANDAÍ	798	
5º	RS	108	AGTRAMANDAÍ	545	
5º	RS	37	AGTRAMANDAÍ	1	
5º	RS	99	AGTRAMANDAÍ	306	
5º	RS	13	AGTRAMANDAÍ	3	
5º	RS	63	AGTRAMANDAÍ	1	
5º	RS	38	AGTRAMANDAÍ	15	
5º	RS	45	AGTRAMANDAÍ	1	
5º	RS	46	AGTRAMANDAÍ	3	
5º	RS	43	AGTRAMANDAÍ	14	
9º	AC	48	AGACRE	37	
9º	AC	25	AGACRE	2	
9º	AC	53	AGACRE	9	
9º	AC	26	AGACRE	20	
9º	AC	55	AGACRE	1	
9º	AC	54	AGACRE	1	
9º	AC	51	AGACRE	726	
9º	AC	10	AGACRE	143	
9º	AC	28	AGACRE	1	
9º	AC	31	AGACRE	37	
9º	AC	57	AGACRE	15	
9º	AC	33	AGACRE	55	
9º	AC	105	AGACRE	4	
9º	AC	35	AGACRE	2151	
9º	AC	108	AGACRE	106	
9º	AC	99	AGACRE	179	
9º	AC	13	AGACRE	33	
9º	AC	63	AGACRE	15	
9º	AC	20	AGACRE	1	
9º	AC	38	AGACRE	157	
9º	AC	41	AGACRE	47	
2º	BA	48	AGBJLP	18	
2º	BA	25	AGBJLP	6	
2º	BA	26	AGBJLP	452	
2º	BA	51	AGBJLP	1083	
2º	BA	28	AGBJLP	133	
2º	BA	31	AGBJLP	36	
2º	BA	57	AGBJLP	16	
2º	BA	33	AGBJLP	3	
2º	BA	34	AGBJLP	3	
2º	BA	105	AGBJLP	2	
2º	BA	35	AGBJLP	1883	
2º	BA	108	AGBJLP	108	
2º	BA	37	AGBJLP	3	
2º	BA	99	AGBJLP	178	
2º	BA	38	AGBJLP	2	
2º	BA	41	AGBJLP	15	
6º	MT	48	AGCACE	27	
6º	MT	25	AGCACE	2	
6º	MT	26	AGCACE	6920	
6º	MT	27	AGCACE	1	
6º	MT	51	AGCACE	370	
6º	MT	28	AGCACE	268	
6º	MT	31	AGCACE	32	
6º	MT	58	AGCACE	2	
6º	MT	33	AGCACE	41	
6º	MT	44	AGCACE	1	
6º	MT	59	AGCACE	1	
6º	MT	34	AGCACE	1	
6º	MT	35	AGCACE	742	
6º	MT	108	AGCACE	122	
6º	MT	37	AGCACE	2	
6º	MT	99	AGCACE	1407	
6º	MT	13	AGCACE	14	
6º	MT	41	AGCACE	14	
9º	RR	26	AGCRAI	3	
9º	RR	51	AGCRAI	70	
9º	RR	31	AGCRAI	1	
9º	RR	35	AGCRAI	24	
9º	RR	108	AGCRAI	5	
9º	RR	12	AGCRAI	1	
9º	AC	48	AGFCRS	31	
9º	AC	53	AGFCRS	98	
9º	AC	26	AGFCRS	107	
9º	AC	51	AGFCRS	259	
9º	AC	10	AGFCRS	4	
9º	AC	57	AGFCRS	3	
9º	AC	33	AGFCRS	32	
9º	AC	105	AGFCRS	1	
9º	AC	35	AGFCRS	41	
9º	AC	108	AGFCRS	13	
9º	AC	13	AGFCRS	12	
9º	AC	63	AGFCRS	5	
9º	AC	38	AGFCRS	3	
9º	AC	41	AGFCRS	6	
9º	AM	23	AGEIRUNEPÉ	1	
9º	AM	48	AGEIRUNEPÉ	38	
9º	AM	25	AGEIRUNEPÉ	10	
9º	AM	53	AGEIRUNEPÉ	369	
9º	AM	26	AGEIRUNEPÉ	93	
9º	AM	51	AGEIRUNEPÉ	225	
9º	AM	10	AGEIRUNEPÉ	7	
9º	AM	31	AGEIRUNEPÉ	5	
9º	AM	57	AGEIRUNEPÉ	19	
9º	AM	33	AGEIRUNEPÉ	19	
9º	AM	7	AGEIRUNEPÉ	2	
9º	AM	35	AGEIRUNEPÉ	74	
9º	AM	108	AGEIRUNEPÉ	26	
9º	AM	99	AGEIRUNEPÉ	27	
9º	AM	13	AGEIRUNEPÉ	3	
9º	AM	63	AGEIRUNEPÉ	6	
9º	AM	38	AGEIRUNEPÉ	13	
9º	AM	41	AGEIRUNEPÉ	21	
9º	AM	2	AGEIRUNEPÉ	1	
9º	RO	48	AgGMirim	16	
9º	RO	53	AgGMirim	1	
9º	RO	26	AgGMirim	1058	
9º	RO	51	AgGMirim	407	
9º	RO	28	AgGMirim	634	
9º	RO	31	AgGMirim	10	
9º	RO	57	AgGMirim	7	
9º	RO	33	AgGMirim	10	
9º	RO	35	AgGMirim	422	
9º	RO	108	AgGMirim	35	
9º	RO	99	AgGMirim	49	
9º	RO	13	AgGMirim	5	
9º	RO	63	AgGMirim	1	
9º	RO	38	AgGMirim	4	
9º	RO	4	AgGMirim	1	
9º	RO	41	AgGMirim	20	
9º	RO	12	AgGMirim	1	
9º	RO	42	AgGMirim	1	
9º	RO	2	AgGMirim	1	
9º	AM	48	AGHUMAITÁ	7	
9º	AM	53	AGHUMAITÁ	6	
9º	AM	26	AGHUMAITÁ	10	
9º	AM	51	AGHUMAITÁ	76	
9º	AM	10	AGHUMAITÁ	132	
9º	AM	30	AGHUMAITÁ	1	
9º	AM	31	AGHUMAITÁ	816	
9º	AM	57	AGHUMAITÁ	4	
9º	AM	33	AGHUMAITÁ	5	
9º	AM	35	AGHUMAITÁ	61	
9º	AM	13	AGHUMAITÁ	35	
9º	AM	63	AGHUMAITÁ	1	
9º	AM	38	AGHUMAITÁ	8	
9º	AM	41	AGHUMAITÁ	3	
9º	AM	2	AGHUMAITÁ	1	
7º	MA	48	AGIMPERATRIZ	67	
7º	MA	25	AGIMPERATRIZ	564	
7º	MA	53	AGIMPERATRIZ	1	
7º	MA	26	AGIMPERATRIZ	479	
7º	MA	54	AGIMPERATRIZ	2	
7º	MA	51	AGIMPERATRIZ	2582	
7º	MA	10	AGIMPERATRIZ	3	
7º	MA	28	AGIMPERATRIZ	600	
7º	MA	31	AGIMPERATRIZ	98	
7º	MA	57	AGIMPERATRIZ	12	
7º	MA	32	AGIMPERATRIZ	1	
7º	MA	33	AGIMPERATRIZ	17	
7º	MA	7	AGIMPERATRIZ	1	
7º	MA	59	AGIMPERATRIZ	2	
7º	MA	34	AGIMPERATRIZ	1	
