OM;SIGLA OM;UF;IDENTIFICADOR DO TIPO DE EMBARCAÇÃO;TOTAL DE EMBARCAÇÕES DESSE TIPO
Agência da Capitania dos Portos em Aracati;AGCATI;CE;48;4
Agência da Capitania dos Portos em Aracati;AGCATI;CE;26;503
Agência da Capitania dos Portos em Aracati;AGCATI;CE;51;120
Agência da Capitania dos Portos em Aracati;AGCATI;CE;28;1
Agência da Capitania dos Portos em Aracati;AGCATI;CE;32;1
Agência da Capitania dos Portos em Aracati;AGCATI;CE;59;2
Agência da Capitania dos Portos em Aracati;AGCATI;CE;34;750
Agência da Capitania dos Portos em Aracati;AGCATI;CE;105;1
Agência da Capitania dos Portos em Aracati;AGCATI;CE;35;148
Agência da Capitania dos Portos em Aracati;AGCATI;CE;108;32
Agência da Capitania dos Portos em Aracati;AGCATI;CE;37;29
Agência da Capitania dos Portos em Aracati;AGCATI;CE;99;122
Agência da Capitania dos Portos em Aracati;AGCATI;CE;13;1
Agência da Capitania dos Portos em Aracati;AGCATI;CE;38;517
Agência da Capitania dos Portos em Aracati;AGCATI;CE;39;1
Agência da Capitania dos Portos em Aracati;AGCATI;CE;43;2
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;48;16
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;25;4
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;26;142
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;51;3
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;58;1
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;34;96
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;105;3
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;35;52
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;108;64
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;37;25
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;99;103
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;13;2
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;38;170
Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;41;1
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;23;25
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;48;22
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;26;276
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;51;1806
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;32;1
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;34;30
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;35;237
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;108;12
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;37;4
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;99;64
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;13;6
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;38;481
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;41;2
Agência da Capitania dos Portos em Camocim;AGOCIM;CE;43;1
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;48;9
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;25;4
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;26;1823
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;51;305
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;28;4
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;31;23
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;32;75
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;33;22
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;44;1
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;34;1
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;105;4
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;35;1004
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;108;186
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;37;15
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;99;427
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;13;4
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;38;15
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;42;27
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;46;80
Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;43;172
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;48;1
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;26;400
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;55;1
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;51;1389
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;28;2
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;31;24
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;32;1
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;35;154
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;108;90
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;37;1
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;13;5
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;38;177
Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;46;92
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;109;1
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;48;2
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;25;1
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;26;1679
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;55;2
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;54;5
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;51;157
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;28;4
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;31;37
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;57;1
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;32;1
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;44;2
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;59;1
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;34;4
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;105;2
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;35;798
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;108;545
Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;37;1
