DN	OM	SiglaOM	Tipo de Embarcação	Quantidade
1º	Agência da Capitania dos Portos em Parati   	AgParati	Balsa         	12
1º	Agência da Capitania dos Portos em Parati   	AgParati	Barcaça         	5
1º	Agência da Capitania dos Portos em Parati   	AgParati	Bote         	1847
1º	Agência da Capitania dos Portos em Parati   	AgParati	Canoa         	301
1º	Agência da Capitania dos Portos em Parati   	AgParati	Chata         	4
1º	Agência da Capitania dos Portos em Parati   	AgParati	Draga         	23
1º	Agência da Capitania dos Portos em Parati   	AgParati	Escuna         	78
1º	Agência da Capitania dos Portos em Parati   	AgParati	Flutuante         	22
1º	Agência da Capitania dos Portos em Parati   	AgParati	Hovercraft         	1
1º	Agência da Capitania dos Portos em Parati   	AgParati	Iate         	1
1º	Agência da Capitania dos Portos em Parati   	AgParati	Jangada         	1
1º	Agência da Capitania dos Portos em Parati   	AgParati	Jet Boat        	5
1º	Agência da Capitania dos Portos em Parati   	AgParati	Lançador de Linhas       	1
1º	Agência da Capitania dos Portos em Parati   	AgParati	Lancha         	1081
1º	Agência da Capitania dos Portos em Parati   	AgParati	Moto-Aquática/similar         	191
1º	Agência da Capitania dos Portos em Parati   	AgParati	Multicasco (Catamarã, Trimarã, Tetramarã, etc)     	17
1º	Agência da Capitania dos Portos em Parati   	AgParati	Outros         	487
1º	Agência da Capitania dos Portos em Parati   	AgParati	Passageiro         	4
1º	Agência da Capitania dos Portos em Parati   	AgParati	Pesqueiro         	15
1º	Agência da Capitania dos Portos em Parati   	AgParati	Saveiro         	33
1º	Agência da Capitania dos Portos em Parati   	AgParati	Traineira         	86
1º	Agência da Capitania dos Portos em Parati   	AgParati	Veleiro         	194
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Balsa         	1
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Bote         	390
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Caiaque         	1
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Canoa         	1257
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Chata         	2
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Draga         	24
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Escuna         	1
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Lancha         	152
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Moto-Aquática/similar         	91
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Multicasco (Catamarã, Trimarã, Tetramarã, etc)     	1
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Passageiro         	5
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Pesqueiro         	167
1º	Agência da Capitania dos Portos em São João da Barra	AgSJBarra	Traineira         	90
1º	Capitania dos Portos do Espírito Santo    	CPES	Anfíbia         	2
1º	Capitania dos Portos do Espírito Santo    	CPES	Apoio à Manobra       	2
1º	Capitania dos Portos do Espírito Santo    	CPES	Apoio a Mergulho       	3
1º	Capitania dos Portos do Espírito Santo    	CPES	Balsa         	136
1º	Capitania dos Portos do Espírito Santo    	CPES	Barcaça         	43
1º	Capitania dos Portos do Espírito Santo    	CPES	Batelão         	6
1º	Capitania dos Portos do Espírito Santo    	CPES	Bote         	8589
1º	Capitania dos Portos do Espírito Santo    	CPES	Cábrea         	7
1º	Capitania dos Portos do Espírito Santo    	CPES	Caiaque         	16
1º	Capitania dos Portos do Espírito Santo    	CPES	Caique         	5
1º	Capitania dos Portos do Espírito Santo    	CPES	Canoa         	1155
1º	Capitania dos Portos do Espírito Santo    	CPES	Carga Geral        	3
1º	Capitania dos Portos do Espírito Santo    	CPES	Chata         	75
1º	Capitania dos Portos do Espírito Santo    	CPES	Draga         	68
1º	Capitania dos Portos do Espírito Santo    	CPES	Escuna         	23
1º	Capitania dos Portos do Espírito Santo    	CPES	Flutuante         	67
1º	Capitania dos Portos do Espírito Santo    	CPES	Graneleiro         	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Hovercraft         	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Iate         	2
1º	Capitania dos Portos do Espírito Santo    	CPES	Jangada         	15
1º	Capitania dos Portos do Espírito Santo    	CPES	Jet Boat        	7
1º	Capitania dos Portos do Espírito Santo    	CPES	Lançador de Linhas       	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Lancha         	2970
1º	Capitania dos Portos do Espírito Santo    	CPES	Manuseio de Âncora (AHTS)      	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Moto-Aquática/similar         	3234
1º	Capitania dos Portos do Espírito Santo    	CPES	Multicasco (Catamarã, Trimarã, Tetramarã, etc)     	5
1º	Capitania dos Portos do Espírito Santo    	CPES	Multipurpose         	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Outros         	1832
1º	Capitania dos Portos do Espírito Santo    	CPES	Passageiro         	10
1º	Capitania dos Portos do Espírito Santo    	CPES	Passageiro de Alta Velocidade (HSC Passageiro)    	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Pesqueiro         	477
1º	Capitania dos Portos do Espírito Santo    	CPES	Pesquisa         	3
1º	Capitania dos Portos do Espírito Santo    	CPES	Plataforma Auto-Elevável        	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Rebocador         	29
1º	Capitania dos Portos do Espírito Santo    	CPES	Roll-on / Roll-off Carga      	1
1º	Capitania dos Portos do Espírito Santo    	CPES	Saveiro         	34
